2015-10-22 15:59:17.905 D  registerFont(Serif,Bookman Old Style)
2015-10-22 15:59:17.905 D  registerFont(Serif,Calisto MT)
2015-10-22 15:59:17.905 D  registerFont(Serif,Castellar)
2015-10-22 15:59:17.905 D  registerFont(Serif,Century Schoolbook)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Copperplate Gothic Bold)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Edwardian Script ITC)
2015-10-22 15:59:17.905 D  registerFont(Serif,Elephant)
2015-10-22 15:59:17.905 D  registerFont(Serif,Engravers MT)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Eras Bold ITC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Eras Light ITC)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Felix Titling)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Forte)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Franklin Gothic Demi Cond)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Franklin Gothic Heavy)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Franklin Gothic Medium Cond)
2015-10-22 15:59:17.905 D  registerFont(Cursive,French Script MT)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Gigi)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Gill Sans MT)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Gill Sans MT Condensed)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Gill Sans Ultra Bold)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Gill Sans Ultra Bold Condensed)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Gill Sans MT Ext Condensed Bold)
2015-10-22 15:59:17.905 D  registerFont(Serif,Gloucester MT Extra Condensed)
2015-10-22 15:59:17.905 D  registerFont(Serif,Goudy Old Style)
2015-10-22 15:59:17.905 D  registerFont(Serif,Goudy Stout)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Lucida Sans)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Palace Script MT)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Papyrus)
2015-10-22 15:59:17.905 D  registerFont(Serif,Perpetua)
2015-10-22 15:59:17.905 D  registerFont(Serif,Perpetua Titling MT)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Pristina)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Rage Italic)
2015-10-22 15:59:17.906 D  registerFont(Serif,Rockwell Condensed)
2015-10-22 15:59:17.906 D  registerFont(Serif,Rockwell Extra Bold)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Algerian)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Bauhaus 93)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Berlin Sans FB)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Berlin Sans FB Demi)
2015-10-22 15:59:17.906 D  registerFont(Serif,Bernard MT Condensed)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Britannic Bold)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Broadway)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Brush Script MT)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Chiller)
2015-10-22 15:59:17.906 D  registerFont(Serif,Cooper Black)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Freestyle Script)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Harlow Solid Italic)
2015-10-22 15:59:17.906 D  registerFont(Serif,High Tower Text)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Juice ITC)
2015-10-22 15:59:17.906 D  registerFont(Serif,Lucida Bright)
2015-10-22 15:59:17.906 D  registerFont(Serif,Lucida Fax)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Lucida Handwriting)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Magneto)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Mistral)
2015-10-22 15:59:17.906 D  registerFont(Serif,Modern No. 20)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Niagara Engraved)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Niagara Solid)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Onyx)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Parchment)
2015-10-22 15:59:17.906 D  registerFont(Serif,Poor Richard)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Ravie)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Informal Roman)
2015-10-22 15:59:17.906 D  registerFont(Fantasy,Showcard Gothic)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Vivaldi)
2015-10-22 15:59:17.906 D  registerFont(Cursive,Vladimir Script)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Calibri)
2015-10-22 15:59:17.906 D  registerFont(Serif,Cambria)
2015-10-22 15:59:17.906 D  registerFont(Serif,Cambria Math)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Candara)
2015-10-22 15:59:17.906 D  registerFont(MonoSpace,Consolas)
2015-10-22 15:59:17.906 D  registerFont(Serif,Constantia)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Corbel)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Arial Unicode MS)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,MS Reference Sans Serif)
2015-10-22 15:59:17.906 D  registerFont(SansSerif,Gadugi)
